table,id,key,english,japanese
ActiveAbilities,44096916249247744,ActiveAbilities.ActiveAbility_1.DataTrackingDescription,[Stall]<stall> and [Rush]<rush> [Triggered:]<bold> [totalStallTriggers+totalRushTriggers]<globaldatatracking>,[忍耐]<stall>と[速攻]<rush>の[発動回数：]<bold> [totalStallTriggers+totalRushTriggers]<globaldatatracking>
ActiveAbilities,2266028806225920,ActiveAbilities.ActiveAbility_1.Description,"Call down lightning, dealing [{0}+{1}_AttackSpeed+{2}_Attack+{3}_Magic]<statcalc_damage> damage per [Stall]<stall> and [Rush]<rush> triggered this game.",雷を落とし、このラン中に[忍耐]<stall>と[速攻]<rush>が発動した回数1回につき、[{0}+{1}_AttackSpeed+{2}_Attack+{3}_Magic]<statcalc_damage>ダメージを与える。
ActiveAbilities,2266028755894272,ActiveAbilities.ActiveAbility_1.Name,Gathering Storm,募る嵐
ActiveAbilities,2266028835586050,ActiveAbilities.ActiveAbility_10.Description,Spark a protective vault. Apply [{0}+{1}_Magic]<statcalc_shield> [Shields]<shield> to the [{2}+{3}_ManaRegen]<statcalc_manaregen> lowest [current % Max HP]<maxhp> Heroes.,雷光の障壁を生み出す。[現在HPの割合]<maxhp>が低い順に[{2}+{3}_ManaRegen]<statcalc_manaregen>人のヒーローへ、[{0}+{1}_Magic]<statcalc_shield>の[シールド]<shield>を付与する。
ActiveAbilities,2266028835586049,ActiveAbilities.ActiveAbility_10.Name,Vault Spark,雷光の障壁
ActiveAbilities,2266028877529088,ActiveAbilities.ActiveAbility_100.Description,"Remove [{0}% of all Debuffs]<debuff>, then deal [{1}+{2}_MaxHealth+{3}_Attack]<statcalc_damage> damage.",すべての[デバフを{0}%]<debuff>解除した後、[{1}+{2}_MaxHealth+{3}_Attack]<statcalc_damage>ダメージを与える。
ActiveAbilities,2266028873334787,ActiveAbilities.ActiveAbility_100.Name,Rejuvenating Blow,活力の一撃
ActiveAbilities,2266028877529090,ActiveAbilities.ActiveAbility_101.Description,Deal [{0}+{1}_Magic]<statcalc_damage> damage and [Stun]<stun> all adjacent enemies for {2} seconds.,[{0}+{1}_Magic]<statcalc_damage>ダメージを与え、隣接するすべての敵を{2}秒間[スタン]<stun>させる。
ActiveAbilities,2266028877529089,ActiveAbilities.ActiveAbility_101.Name,Slam,叩きつけ
ActiveAbilities,2266028881723392,ActiveAbilities.ActiveAbility_102.Description,Deal [{0}+{1}_AttackSpeed+{2}_Attack]<statcalc_damage> damage to a random enemy.,ランダムな敵1体に[{0}+{1}_AttackSpeed+{2}_Attack]<statcalc_damage>ダメージを与える。
ActiveAbilities,2266028877529091,ActiveAbilities.ActiveAbility_102.Name,Wild Shot,乱れ撃ち
ActiveAbilities,2266028881723396,ActiveAbilities.ActiveAbility_104.Description,"Call down a frost storm for {0} seconds.

[Each second,]<bold> deal [{1}+{2}_Magic]<statcalc_damage> damage and inflict [{3}+{4}_Magic]<statcalc_frost> [Frost]<frost> to all enemies inside the frost storm.","{0}秒間、凍気の嵐を呼び起こす。

[毎秒、]<bold>嵐の中にいるすべての敵へ[{1}+{2}_Magic]<statcalc_damage>ダメージを与え、[{3}+{4}_Magic]<statcalc_frost>の[凍気]<frost>を付与する。"
ActiveAbilities,2266028881723395,ActiveAbilities.ActiveAbility_104.Name,Frost Storm,凍気の嵐
